Date;KO.Open;KO.High;KO.Close;KO.Low;KO.Volume
2019-01-07;;;;;688
2019-01-04;46,75;47,57;47,57;46,64;13013814
2019-01-03;46,82;47,37;46,64;46,53;14714413
2019-01-02;46,94;47,215;46,93;46,555;11603715
2018-12-31;47,49;47,54;47,35;46,96;10576275
2018-12-28;47,89;48,01;47,2;47,025;13218171
2018-12-27;46,74;47,55;47,53;46,03;16966520
2018-12-26;45,88;46,96;46,94;45,66;14342580
2018-12-24;47,62;47,87;45,96;45,83;10733717
2018-12-21;47,26;48,75;47,57;47,23;32477704
2018-12-20;47,81;48,1331;47,54;47,1;21130012
2018-12-19;48,24;48,76;47,9;47,62;17903816
2018-12-18;48,61;48,83;48,32;47,85;14765715
2018-12-17;49,34;49,53;48,33;48,02;18483064
2018-12-14;49,23;49,52;49,34;49,02;13836073
2018-12-13;48,72;49,6099;49,47;48,57;13766246
2018-12-12;49,95;50,02;49,22;49,19;12316944
2018-12-11;49,59;50,01;49,54;49,18;18083598
2018-12-10;49,45;49,45;49,24;48,465;12331098
2018-12-07;49,57;49,68;49,09;48,88;15565697
2018-12-06;49,51;49,63;49,38;48,66;17674942
2018-12-04;49,97;50,51;49,58;49,5;19059892
2018-12-03;49,87;49,96;49,69;48,89;14868769
2018-11-30;49;50,485;50,4;48,99;25538172
2018-11-29;49,28;49,43;48,98;48,97;11564317
2018-11-28;49,21;49,72;49,71;49,21;11368691
2018-11-27;48,88;49,405;49,37;48,73;9180671
2018-11-26;49,01;49,23;48,87;48,67;9341934
2018-11-23;48,75;49,23;49,02;48,55;4792475
2018-11-21;49,23;49,44;48,73;48,59;13559346
2018-11-20;50,82;50,84;49,38;49,21;16255437
2018-11-19;50,31;50,76;50,51;50,25;13575799
2018-11-16;49,66;50,25;50,17;49,63;13405755
2018-11-15;49,66;49,75;49,74;49,27;12080074
2018-11-14;49,85;49,94;49,76;49,59;12106794
2018-11-13;49,81;50;49,86;49,58;13873127
2018-11-12;49,61;50,24;49,87;49,54;13918312
2018-11-09;49,39;49,89;49,68;49,36;12398306
2018-11-08;49,12;49,37;49,33;49,1;9762841
2018-11-07;49,39;49,55;49,37;49,0301;12239747
2018-11-06;48,65;49,13;49,11;48,6;14373426
2018-11-05;48;48,775;48,69;47,92;16543547
2018-11-02;47,82;48;48;47,435;17585058
2018-11-01;47,81;48,15;47,74;47,295;16494500
2018-10-31;47,5;48,08;47,88;47,22;25309420
2018-10-30;46,62;47,74;47,63;46,0384;20895360
2018-10-29;46,15;46,555;46,46;46,05;20932176
2018-10-26;46,37;46,48;45,92;45,43;21458110
2018-10-25;46,65;46,74;46,51;46,12;14220216
2018-10-24;46,33;47,39;46,73;46,24;21626032
2018-10-23;45,62;46,455;46,36;45,45;17483862
2018-10-22;46,37;46,455;45,97;45,81;14283642
2018-10-19;45,83;46,49;46,33;45,83;13989247
2018-10-18;45,9;46,08;45,61;45,455;12716854
2018-10-17;45,41;45,99;45,86;45,36;11055840
2018-10-16;45,02;45,595;45,49;44,8626;10442520
2018-10-15;44,64;45,265;44,91;44,59;11608529
2018-10-12;44,48;44,8799;44,68;44,25;12420075
2018-10-11;45,8;45,97;44,64;44,5;17677940
2018-10-10;46,3;46,7;45,68;45,67;13917018
2018-10-09;46,38;46,55;46,39;46,22;10824552
2018-10-08;45,99;46,58;46,48;45,97;9808094
2018-10-05;45,94;46,16;45,88;45,69;8734090
2018-10-04;45,66;45,895;45,85;45,425;9582388
2018-10-03;46,46;46,55;45,87;45,8;10542292
2018-10-02;46,28;46,555;46,51;46,06;7462702
2018-10-01;46,17;46,35;46,23;46,05;9364735
2018-09-28;46;46,19;46,19;45,97;9071904
2018-09-27;45,73;46,18;46,01;45,68;10826880
2018-09-26;45,77;46,07;45,85;45,565;10162560
2018-09-25;46,06;46,1754;45,68;45,61;7919144
2018-09-24;46,49;46,53;46,07;45,84;10778892
2018-09-21;46,64;46,69;46,58;46,375;19240576
2018-09-20;46,22;46,68;46,64;46,15;9736714
2018-09-19;46;46,105;45,96;45,865;7119133
2018-09-18;46,39;46,53;45,93;45,93;9847711
2018-09-17;46;46,33;46,32;45,91;8527345
2018-09-14;45,92;46,0264;45,99;45,61;7612884
2018-09-13;46,01;46,12;45,83;45,71;8294848
2018-09-12;46,16;46,3;46,24;46,02;13216376
2018-09-11;46,1;46,15;46,02;45,88;9278268
2018-09-10;45,91;46,31;46,06;45,795;8569053
2018-09-07;45,6;45,82;45,72;45,28;10208108
2018-09-06;45,4;46;45,77;45,3;11439474
2018-09-05;44,66;45,42;45,38;44,66;10555033
2018-09-04;44,6;44,9;44,76;44,51;11138579
2018-08-31;45;45,07;44,57;44,39;19834440
2018-08-30;45,28;45,32;44,95;44,885;9716529
2018-08-29;45,25;45,415;45,33;45,22;12410931
2018-08-28;45,65;45,73;45,37;45,28;8476801
2018-08-27;46,05;46,05;45,69;45,564;9581245
2018-08-24;45,65;45,8;45,63;45,58;10953103
2018-08-23;45,89;46,08;45,7;45,69;13144908
2018-08-22;46,34;46,38;45,93;45,92;7159135
2018-08-21;46,73;46,75;46,22;46,21;13986293
2018-08-20;46,68;46,865;46,73;46,59;6392025
2018-08-17;46,29;46,73;46,6;46,24;8885691
2018-08-16;46,11;46,38;46,22;45,97;10600733
